epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,25654.9,1.90931,2.57991,1.0207,0.65965,0.34481,0.36222,0.1413,2.71174,2.96342,1.09063,0.00999333,0.00333111,0.00999333,0.00333111,0.00999333,0.00333111,0.00999333,0.00333111
2,36861.3,1.8232,1.27046,0.99525,0.69578,0.36561,0.40877,0.16977,2.66914,2.84745,1.09165,0.0195975,0.00653249,0.0195975,0.00653249,0.0195975,0.00653249,0.0195975,0.00653249
3,46702.5,1.85665,1.26039,1.01065,0.65805,0.36558,0.36997,0.14773,2.64125,3.21321,1.12007,0.0288056,0.00960186,0.0288056,0.00960186,0.0288056,0.00960186,0.0288056,0.00960186
4,64579.7,1.79599,1.19643,1.00003,0.66925,0.35221,0.38452,0.16875,2.65648,2.57886,1.13399,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
5,75733.7,1.69337,1.0852,0.97354,0.75705,0.42847,0.4723,0.19877,2.46862,2.313,1.06558,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
6,85306.6,1.62784,1.01868,0.95901,0.80022,0.45451,0.49903,0.22334,2.46197,2.34643,1.071,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
