epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
32,28238.5,1.23095,0.64462,0.87446,0.80053,0.53238,0.58595,0.31352,2.17078,1.9447,0.99418,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862
33,29199.5,1.2146,0.63483,0.87127,0.75217,0.53409,0.57777,0.30808,2.17095,1.95211,0.99588,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664
34,30151.4,1.20931,0.62507,0.86887,0.74725,0.5302,0.57598,0.30871,2.18334,1.93404,1.00145,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466
35,31101,1.20085,0.62033,0.86927,0.76137,0.53164,0.58159,0.30966,2.17961,1.93841,1.00241,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268
36,32050.6,1.19217,0.61214,0.86712,0.81052,0.51306,0.5792,0.30874,2.19391,1.92229,1.00606,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
37,32989.3,1.17568,0.60204,0.8646,0.79919,0.50959,0.57523,0.30699,2.20012,1.92679,1.00841,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872
38,33925.2,1.17748,0.60272,0.86311,0.76087,0.52461,0.57164,0.30718,2.20181,1.94554,1.00839,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674
39,34863.9,1.1695,0.59686,0.86407,0.75247,0.52854,0.56901,0.3066,2.20122,1.93466,1.00846,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476
40,35811.5,1.17069,0.59077,0.86259,0.76224,0.52739,0.56574,0.30635,2.20263,1.94067,1.00946,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278
41,36779.9,1.12586,0.5634,0.86849,0.76995,0.52415,0.56602,0.30602,2.21036,1.9442,1.01051,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
